SNAKE ID,ID number,GROUND LOCATIONS,PEAK SIGNALS,SCOUT SEARCH,Season
ROOSTER,113,2,2,,2024-2025
HARRIET,55,3,2,2,2024-2025
CHARLIE,57,3,3,3,2024-2025
MAVERICK,116,,,,2024-2025
KIRKLAND,13,6,3,1,2024-2025
LUTHER,19,6,3,2,2024-2025
PORKY,115,3,3,3,2024-2025
RICHARD,107,7,3,2,2024-2025
MARVIN,106,10,8,3,2024-2025
EDDIE,56,11,4,3,2024-2025
WALTER,100,9,6,6,2024-2025
ENDER,35,10,4,3,2024-2025
McLOVIN,63,8,7,5,2024-2025
FENRIR,93,14,7,4,2024-2025
Bobby Jo,44,8,4,4,2024-2025
ZIGGY,42,6,4,3,2024-2025
PYBI-69,69,14,8,8,2024-2025
ABE,95,5,4,4,2024-2025
GUY BRADLEY,111,10,5,4,2024-2025
MALCOLM ,27,7,3,3,2024-2025
MICK,39,,,,2024-2025
SAQUON,118,,,,2024-2025
VLAD,97,7,5,4,2024-2025
REGGIE,114,8,3,3,2024-2025
KJ,112,12,7,5,2024-2025
POOCHIE,99,8,6,6,2024-2025
FRANKO,53,12,10,10,2024-2025
ARTHUR,89,9,6,6,2024-2025
BARKOV,117,2,,,2024-2025
STUART,91,12,7,6,2024-2025
BADGER,102,10,9,7,2024-2025
DENIS,83,10,5,5,2024-2025
SKINNY PETE,101,10,8,7,2024-2025
DONNIE,45,3,3,1,2024-2025
JENSEN,76,8,5,5,2024-2025
RONIN,34,15,9,8,2024-2025
HISS-TOPHER,85,9,6,5,2024-2025
MIDAS,92,10,7,7,2024-2025
DEWEY,119,,,,2024-2025
THOR,52,6,5,4,2024-2025
CONNOR,108,8,8,8,2024-2025
LINCOLN,103,11,9,8,2024-2025
DION,82,9,9,9,2024-2025
GEORGE,84,12,12,9,2024-2025
PACINO,109,3,3,3,2024-2025
DEXTER,105,7,3,1,2024-2025
VICTOR,V5,,,,2024-2025
JESSE,98,1,1,,2024-2025
WILSON,110,1,,,2024-2025
TIMMY,74,,,,2024-2025
SHREK,28,2,2,1,2024-2025
ELIO,94,,,,2024-2025
BREAKER,61,,,,2024-2025
STEVE,79,1,,,2024-2025
VICTOR,V5,3,1,1,2023-2024
RICHARD,107,1,,,2023-2024
WALTER,100,9,9,5,2023-2024
THOR,52,7,3,3,2023-2024
MIDAS,92,8,7,7,2023-2024
BREAKER,61,5,2,2,2023-2024
MALCOLM ,27,11,2,2,2023-2024
SHREK,28,11,3,3,2023-2024
ENDER,35,8,4,3,2023-2024
JENSEN,76,11,2,2,2023-2024
KIRKLAND,13,4,,,2023-2024
STEVE,79,8,4,3,2023-2024
MARVIN,106,8,4,,2023-2024
BOBBY,67,6,2,1,2023-2024
ELIO,94,7,3,3,2023-2024
LUTHER,19,7,4,1,2023-2024
WILSON,110,3,,,2023-2024
GEORGE,84,9,7,5,2023-2024
EDDIE,56,8,4,1,2023-2024
ABE,95,7,4,4,2023-2024
DENIS,83,7,4,2,2023-2024
DION,82,9,6,5,2023-2024
HISS-TOPHER,85,5,3,3,2023-2024
POOCHIE,99,11,8,5,2023-2024
