ID,Entity,Year,Time,Age,Sex,Disposition,TotL_ft,TotL_cm,SVL_cm,Weight_lbs,Weight_kg,Easting,Northing,GeneralLocation,Method,Additional_ID,County,Designation,Observer,Sentinel,EggCount,SizeEstimate,Percent_Hidden,SnakeTemp,AirTemp,ShadeTemp,GroundTemp,PavementTemp,BurowFeature,Microhabitat,Comments,Behavior,GlobalID,Breeding,Sector_I,Sector_II,Scout_2,Scout_3,Scout_4,Scout_5,Scout_Association,Date,timestamp,geometry,
BP02-27JAN21,COSWFL,2021,1257,Adult,Female,A,10.8,330,290,38.4,17.4,449233,2874290,Faka Union Canal; W,Scout,,Collier,PSRP," IB, IE, ME",Loki,34,,0,28,NA,29,31.20000076,NA,,,,Basking,{7C4F2793-3DD7-465E-9270-18513447FFF7},YES,PSRP,,,,,,direct,1/27/2021,2021-01-27 1257,c(-81.5072194210535, 25.9865248339581)
BP02-10FEB21,COSWFL,2021,1312,Adult,Female,A,16.4,501,440,147.2,66.8,449225,2874435,Faka Union Canal; W,Scout,,Collier,PSRP," IB, IE, ME",Loki,NA,,NA,NA,NA,28.20000076,32.40000153,NA,,,,,{0994DF23-10A9-46D1-BC32-4F5DC8321554},,PSRP,,,,,,direct,2/10/2021,2021-02-10 1312,c(-81.5073044247969, 25.9878306256189)
BP03-10FEB21,COSWFL,2021,1316,Adult,Male,A,11.7,352,310,45.5,20.7,449220,2874434,Faka Union Canal; W,Scout,,Collier,PSRP," IB, IE, ME",Loki,NA,,0,NA,NA,28.20000076,32.40000153,NA,,,PYBI-84,,{BFB1C474-7E18-4930-8E2D-0157F9FFEB77},,PSRP,,,,,,direct,2/10/2021,2021-02-10 1316,c(-81.5073538170534, 25.9878231555493)
BP04-10FEB21,COSWFL,2021,1317,Adult,Male,A,11.5,347,303,44.2,20.1,449221,2874434,Faka Union Canal; W,Scout,,Collier,PSRP," IB, IE, ME",Loki,NA,,0,NA,NA,28.20000076,32.40000153,NA,,,PYBI-85,,{4D0BE9EC-EFBA-4F17-8283-2C281C1FFC50},,PSRP,,,,,,direct,2/10/2021,2021-02-10 1317,c(-81.5073196419641, 25.9877861562705)
BP03-18FEB21,COSWFL,2021,1120,Adult,Female,A,15.8,482,425,146.5,66.5,447669,2883040,"Faka Union Canal, 94 Ave",Scout,,Collier,PSRP," IB, IE, AF, ME",Denis,82,,100,NA,NA,27.60000038,29,NA,,Debris pile,,Courting/Mating,{75F62214-59FB-4EE8-8E82-555B0BD3F90E},YES,PSRP,South,Dion,,,,direct,2/18/2021,2021-02-18 1120,c(-81.5231934864306, 26.0654757821731)
BP01-04MAR21,COSWFL,2021,1112,Adult,Female,A,11.6,354,312,55.9,25.4,447706,2883548,"Faka Union Canal, 92 Ave",Scout,,Collier,PSRP,"IE, ME, AlF ",Denis,41,,50,NA,NA,23.20000076,34.90000153,NA,,,,Courting/Mating,{543BB6EF-E46D-4CB9-8E99-46D3CE1A75E1},YES,PSRP,North,,,,,direct,3/4/2021,2021-03-04 1112,c(-81.5228088390648, 26.0700602643838)
BP01-22DEC21,COSWFL,2021,1027,Adult,Female,A,14.8,452,402,113.8,51.6,448585,2872204,Faka Union Canal; W,Scout,,Collier,PSRP," IB, IE, KyF ",George,75,,40,NA,NA,NA,NA,NA,,Eco tone between Oak/ palm cypress and fern ,,,{7FB772D0-B604-4D4F-A061-951A0FBEB552},YES,PSRP,,,,,,direct,12/22/2021,2021-12-22 1027,c(-81.5135888433473, 25.9676868006798)
BP01-28DEC21,COSWFL,2021,1538,Adult,Female,A,17.5,534,481,215,97.5,447660,2881604,"Faka Union Canal, 102 Ave",Scout,,Collier,PSRP," IE, KyF ",Dion,122,,100,NA,NA,NA,NA,NA,,,Holy shit,,{433C78CB-F15F-4A8E-B61E-66768E7AC4DB},YES,PSRP,South,,,,,direct,12/28/2021,2021-12-28 1538,c(-81.5232968863828, 26.0520218517279)
BP01-21JAN22,COSWFL,2022,1321,Adult,Male,A,11.2,340,292,41.1,18.7,447640,2883725,Faka Union Canal; 92 Ave,Scout,,Collier,PSRP," IB, IE, KyF, KF",Denis,NA,,0,NA,NA,NA,NA,NA,,,,,{528F7DA4-567E-495E-8A6D-A4DFAB136117},,PSRP,North,,,,,indirect,1/21/2022,2022-01-21 1321,c(-81.5235116608788, 26.0716544806051)
BP02-21JAN22,COSWFL,2022,1332,Adult,Female,A,10.9,331,290,40.6,18.4,447651,2883690,Faka Union Canal; 92 Ave,Scout,,Collier,PSRP," IB, IE, KyF, KF",Denis,36,,NA,NA,NA,NA,NA,NA,,,,,{72203379-3F43-4689-A4BF-DF3C7318B951},YES,PSRP,North,,,,,direct,1/21/2022,2022-01-21 1332,c(-81.523394128217, 26.0713442265034)
BP01-25JAN22,COSWFL,2022,1345,Adult,Female,A,10.2,310,274,35.6,16.2,449330,2873918,Faka Union Canal; E,Scout,,Collier,PSRP," IE, KyF",George,29,,60,NA,NA,NA,NA,NA,,,"Indirect PYBI 84,85",Basking,{3AB41389-013E-4085-9DFD-ECC20AE54BB2},YES,PSRP,,,,,,indirect,1/25/2022,2022-01-25 1345,c(-81.5062183545263, 25.9831777163735)
BP01-27JAN22,COSWFL,2022,1158,Adult,Male,A,8.2,251,220,18,8.2,449252,2873826,Faka Union Canal; W,Scout,,Collier,PSRP," IB, IE, KyF ",George,NA,,75,NA,NA,NA,NA,NA,DILLO,Dense vines over armadillo burrow ,Shedding along with George ,Coiled,{6F192060-05BF-4FB3-97CD-D242179E21F0},,PSRP,,,,,,direct,1/27/2022,2022-01-27 1158,c(-81.5070207310325, 25.9823570224866)
BP02-27JAN22,COSWFL,2022,1205,Adult,Male,A,11.6,354,307,42.8,19.4,449162,2873730,Faka Union Canal; W,Scout,,Collier,PSRP," IB, IE, KyF ",Hisstopher,NA,,NA,NA,NA,NA,NA,NA,,,,,{F0FF5135-1389-4971-8B70-63E51D3ACEDA},,PSRP,,,,,,direct,1/27/2022,2022-01-27 1205,c(-81.5078904708765, 25.9814798103636)
BP03-27JAN22,COSWFL,2022,1209,Adult,Male,A,10.8,328,305,42.8,19.4,449178,2873718,Faka Union Canal; W,Scout,,Collier,PSRP,"IB, IE, KyF",Hisstopher,NA,,NA,NA,NA,NA,NA,NA,,,,,{FA1A45E0-323C-4F7E-8643-222B24DE7741},,PSRP,,,,,,direct,1/27/2022,2022-01-27 1209,c(-81.5077513300884, 25.9813623459482)
BP02-28JAN22,COSWFL,2022,124,Adult,Female,A,14.7,448,401,125.7,57,447781,2877368,"Faka Union Canal, 122 Ave",Scout,,Collier,PSRP," IB, IE, KyF, AF",Loki,72,,10,NA,NA,NA,NA,NA,,"Open sun patch in vines and ferns, on top of matted down vines ",,Basking,{8490936D-7D42-4EB9-8467-727F2A2AA4CD},YES,PSRP,South,,,,,direct,1/28/2022,2022-01-28 0124,c(-81.5214631403772, 26.0139696431245)
BP03-04FEB22,COSWFL,2022,1230,Adult,Female,A,12.2,371,329,57.2,26,447668,2881061,"Faka Union Canal, 104 Ave",Scout,,Collier,PSRP,"IB, IE, KyF",Dion,38,,NA,NA,NA,NA,NA,NA,,,,Coiled,{5CA7847C-8782-414E-9177-B0EAD110DE36},YES,PSRP,South,,,,,direct,2/4/2022,2022-02-04 1230,c(-81.5231258614114, 26.0476308686552)
BP04-04FEB22,COSWFL,2022,1230,Adult,Female,A,10.7,325,282,39,17.7,447668,2881061,"Faka Union Canal, 104 Ave",Scout,,Collier,PSRP," IB, IE, KyF ",Dion,31,,100,NA,NA,NA,NA,NA,,In a massive Boulder pile at the base of the pile in a cavity ,,Coiled,{3F2EE432-06AE-41C5-A4DB-CC5C2F6CED01},YES,PSRP,South,,,,,direct,2/4/2022,2022-02-04 1230,c(-81.5231258614114, 26.0476308686552)
BP01-15FEB22,COSWFL,2022,1040,Adult,Female,A,14.6,444,395,105.5,47.95,448825,2873040,Fakaunion canal - West,Scout,,Collier,PSRP," IB, IE, KyF ",George,31,,0,NA,NA,NA,NA,NA,,"Bracken fern, smylax vine patch ",Length might be reversed with Orion snake ,Basking,{13CAAE48-DB03-47F9-9939-38AD93CCD6FC},,PSRP,,,,,,direct,2/15/2022,2022-02-15 1040,c(-81.5112635984702, 25.9752375705424)
BP01-17FEB22,COSWFL,2022,1238,Adult,Female,A,15.8,481,427,145.3,65.9,447679,2876363,PSSF - Faka Union Canal W,Scout,,Collier,PSRP," IB, IE, KyF, AF",Loki,96,,50,NA,NA,NA,NA,NA,,Fern patch adjacent to large berm on the edge of a canal ,,,{D633DA4F-DBB8-4FEA-9FD4-D0C1D7E0B441},YES,PSRP,South,,,,,direct,2/17/2022,2022-02-17 1238,c(-81.5228377158803, 26.0052005691102)
BP01-24FEB22,COSWFL,2022,1147,Adult,Female,A,15.6,477,421,116.2,52.7,447661,2880613,"Faka Union Canal, 106 Ave",Scout,,Collier,PSRP," IB, IE, KyF, AF",Dion,59,,75,NA,NA,NA,NA,NA,,Large matted down royal fern patch on top of large Boulder pile ,,Basking,{F53338CD-9585-4B81-8F10-30A778C70EE5},YES,PSRP,South,,,,,direct,2/24/2022,2022-02-24 1147,c(-81.5230761494301, 26.0435674264622)
BP02-24FEB22,COSWFL,2022,1147,Adult,Male,A,12,366,319,38.8,17.6,447661,2880613,"Faka Union Canal, 106 Ave",Scout,,Collier,PSRP," IB, IE, KyF, AF",Dion,NA,,75,NA,NA,NA,NA,NA,,Large matted down royal fern patch on top of large Boulder pile ,,Basking,{5F09BC67-5C0B-48C7-BC11-FCE08107C51C},,PSRP,South,,,,,direct,2/24/2022,2022-02-24 1147,c(-81.5230835127512, 26.0435335262486)
