"","X","x","y","ID","Entity","Year","Time","Age","Sex","Disposition","TotL_ft","TotL_cm","SVL_cm","Weight_lbs","Weight_kg","Easting","Northing","GeneralLocation","Method","Additional_ID","County","Designation","Observer","Sentinel","EggCount","SizeEstimate","Percent_Hidden","SnakeTemp","AirTemp","ShadeTemp","GroundTemp","PavementTemp","BurowFeature","Microhabitat","Comments","Behavior","GlobalID","Breeding","Sector_I","Sector_II","Scout_2","Scout_3","Scout_4","Scout_5","Scout_Association","Date","timestamp"
"1",109,-81.6008218716831,26.0672307691897,"BP01-17NOV18","COSWFL",2018,1040,"Adult","Female","Alive",14,428,380,111,50.3,439730,2883268,"Rouge River Farms","Scout","","Collier","Six L's Agricultural Buffer","IB, KK, AF, KF","Vagus",80,"",NA,NA,NA,NA,NA,NA,"","para field ","found 30 ft from vagus ","Shedding","{B380B6F3-DFAC-4249-9281-61CD48B5CB5E}","YES","North","East","","","","","direct",2018-11-17,"2018-11-17 1040"
"2",110,-81.6375844529678,26.0343408770451,"BP01-13DEC18","COSWFL",2018,1219,"Adult","Male","Alive",8.8,267,230,18.6,8.5,436035,2879643,"Trinity Rd","Scout","PYBI-51 Estilo","Collier","Six L's Agricultural Buffer","IB, IE, KK","Jimi",NA,"",0,NA,NA,NA,NA,NA,"","horticultural spoil covered in para","found on top of para covered berm, near Jimi's burrow","Basking","{5DCA0128-8681-40CD-8F1B-CD2B61B364F3}","","North","East","","","","","direct",2018-12-13,"2018-12-13 1219"
"3",111,-81.6630024199016,26.0894861627365,"BP01-27DEC18","COSWFL",2018,1230,"Adult","Female","Alive",15.4,468,413,124.9,56.7,433523,2885763,"S Naples Citrus Grove","Scout","","Collier","Belle Meade","IB, IE, KK, AF","Argo",77,"",NA,NA,NA,NA,NA,NA,"","Melaleuca pile debris and vines","melaleuca mound in proximity to PYBI-32","Undercover","{98EDE8F7-A8D4-4B92-8425-D8BF62C8DDA6}","YES","North","East","","","","","direct",2018-12-27,"2018-12-27 1230"
"4",113,-81.6300341771618,26.0503381917018,"BP01-31DEC18","COSWFL",2018,1130,"Adult","Male","Alive",10.9,332,293,49.9,22.7,436799,2881411,"W. Sentel","Scout","PYBI-53 Franko","Collier","Six L's Agricultural","IE, KK, AF","Donnie",NA,"",NA,NA,NA,NA,NA,NA,"","edge of agricultural retention","basking on W edge of retention; shedding","Basking, Shedding","{00A4FB2E-A093-488F-80B5-793A4D43D9B2}","","North","East","","","","","direct",2018-12-31,"2018-12-31 1130"
"5",119,-81.6453068082448,26.0355074197759,"BP02-11JAN19","COSWFL",2019,1340,"Adult","Female","Alive",12.6,383,338,78.5,35.6,435263,2879776,"Broit Lake","Scout","","Collier","Agricultural","IB, IE, KK, DG","Jimi",52,"",NA,NA,NA,NA,NA,NA,"","","","","{D5305D2D-E375-4055-8007-2ADDCAC1E108}","YES","North","East","","","","","direct",2019-01-11,"2019-01-11 1340"
"6",120,-81.6289082165979,26.0510112928463,"BP01-12JAN19","COSWFL",2019,1130,"Adult","Female","Alive",13,395,350,80.8,36.7,436912,2881485,"Wiggins","Scout","","Collier","Six L's Agricultural","IB, AF","Donnie",55,"",NA,NA,NA,NA,NA,NA,"","","","","{A8BB9032-199F-4643-98A0-A670CC78327B}","YES","North","East","","","","","direct",2019-01-12,"2019-01-12 1130"
"7",123,-81.6299878279934,26.051015603964,"BP01-28JAN19","COSWFL",2019,0,"Adult","Male","Alive",8.8,267,230,17.3,7.9,436804,2881486,"Wiggins","Scout","","Collier","Six L's Agricultural","IB, IE, KK","Franko",NA,"",NA,NA,NA,NA,NA,NA,"","","found basking on S side of retention along same line as male sentinel animal","","{53D2E31B-2A3D-4835-B455-3FC19BE772AF}","","North","East","","","","","direct",2019-01-28,"2019-01-28 0000"
"8",131,-81.6281973502535,26.0489285892476,"BP01-19FEB19","COSWFL",2019,1222,"Adult","Female","Alive",10,305,268,32.3,14.7,436982,2881254,"W. Sentel","Scout","","Collier","Six L's Agricultural","IB, IE, KK","Franko",NA,"",NA,NA,NA,NA,NA,NA,"","","","","{49D724F5-563B-4BD7-95A7-618EC486DCAF}","YES","North","East","","","","","direct",2019-02-19,"2019-02-19 1222"
"9",134,-81.6442622175669,26.0418688335563,"BP01-27FEB19","COSWFL",2019,1250,"Adult","Female","Alive",11.1,339,301,50.9,23.1,435371,2880480,"Pantanal feature","Scout","","Collier","Agricultural","IB, IE, KK","Estilo",34,"",NA,NA,NA,NA,NA,NA,"","Rice field filled with knee deep water and rush","mating aggregation in water filled rice field","Courting/Mating","{4D9DDE8B-E4B3-46AC-A67B-DE27F99AC1E3}","YES","North","East","","","","","direct",2019-02-27,"2019-02-27 1250"
"10",135,-81.6442622175669,26.0418688335563,"BP02-27FEB19","COSWFL",2019,1250,"Adult","Male","Alive",9.6,294,255,17.1,7.8,435371,2880480,"Pantanal feature","Scout","","Collier","Agricultural","IB, IE, KK","Estilo",NA,"",NA,NA,NA,NA,NA,NA,"","Rice field filled with knee deep water and rush","mating aggregation in water filled rice field","Courting/Mating","{AC11EBA4-2E1B-48A3-85DD-78758FD35293}","","North","East","","","","","direct",2019-02-27,"2019-02-27 1250"
