"Snake_ID","season","pythons.removed","males","females","avg.total","avg.m","avg.f","ground","peak","search","MCP_sqmi","MCP.core.A_sqmi","MCP.core.B_sqmi","df.inactive.days","trapdays.corrected.breeding.season","min.dist.mi.corrected","min.dist.core.A.mi","min.dist.core.B.mi","sample.size","sample.size.core.A","sample.size.core.B","overlap","tracked_years"
"PYBI_01-T","2012-2013",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_01-T","2013-2014",0,0,0,0,0,0,0,0,"0",0.58,NA,0,0,143,2.95,0,0,7,0,1,NA,NA
"PYBI_01-T","2014-2015",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_01-T","2015-2016",0,0,0,0,0,0,0,0,"0",0.01,0.01,0,0,16,0.34,0.34,0,3,3,1,NA,NA
"PYBI_01-T","2016-2017",0,0,0,0,0,0,0,0,"0",0,0,NA,0,NA,2.08,0,0,2,1,0,NA,NA
"PYBI_01-T","2017-2018",0,0,0,0,0,0,0,0,"0",0.14,0.01,0,0,49,1.21,0.42,0.04,5,3,2,NA,NA
"PYBI_01-T","2018-2019",0,0,0,0,0,0,0,0,"0",0.06,0,0,0,35,2.23,0.46,0.46,3,2,2,NA,NA
"PYBI_01-T","2019-2020",0,0,0,0,0,0,0,0,"0",0,0,0,0,53,0.15,0,0,2,1,1,NA,NA
"PYBI_01-T","2020-2021",0,0,0,0,0,0,0,0,"0",0.28,NA,NA,0,NA,1.79,0,0,3,0,0,NA,NA
"PYBI_01","2012-2013",0,0,0,0,0,0,0,0,"0",1.9,0,0,0,NA,6.29,0,0,10,1,1,NA,NA
"PYBI_01","2013-2014",2,0,2,64.2,0,64.2,20,9,"9",1.45,0.25,0.19,0,175,5.42,2.23,2.05,23,9,7,NA,NA
"PYBI_01","2014-2015",6,4,2,34.25,16.02,70.7,9,7,"7",2.47,0,0,21,140,8.41,0.12,0.13,26,5,6,NA,NA
"PYBI_01","2014-2015",6,4,2,34.25,16.02,70.7,9,7,"7",2.47,0,0,0,140,8.41,0.12,0.13,26,5,6,NA,NA
"PYBI_01","2015-2016",0,0,0,0,0,0,15,8,"8",2.2,0.05,0.03,0,129,7.74,1.33,1.38,27,10,10,NA,NA
"PYBI_01","2016-2017",3,1,2,44.27,9.5,61.65,12,9,"9",2.91,0.11,0.15,0,161,13.03,1.88,1.81,30,11,11,NA,NA
"PYBI_01","2017-2018",2,0,2,55.35,0,55.35,19,6,"6",2.25,0.29,0.36,0,162,11.77,3.56,4.19,28,10,13,NA,NA
"PYBI_01","2018-2019",2,0,2,42.8,0,42.8,21,12,"12",6.1,2.69,2.69,0,162,18.88,8.12,7.8,37,15,16,NA,NA
"PYBI_01","2019-2020",4,1,3,44.12,16.6,53.3,13,9,"8",2.34,0.18,0.08,0,156,9.35,1.44,0.91,25,8,8,NA,NA
"PYBI_01","2020-2021",0,0,0,0,0,0,2,1,"1",1.27,0.08,0.08,0,153,5.27,0.98,1.09,17,4,5,NA,NA
"PYBI_01","2021-2022",0,0,0,0,0,0,1,0,"",0.06,0,0,0,64,1.24,0.17,0,5,2,1,NA,NA
"PYBI_02-T","2012-2013",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0.28,0,0,2,0,0,NA,NA
"PYBI_02-T","2014-2015",0,0,0,0,0,0,0,0,"0",0.59,0,0,0,125,2.75,0,0,7,1,1,NA,NA
"PYBI_02-T","2015-2016",0,0,0,0,0,0,0,0,"0",0.02,0.02,0,0,35,1.4,1.4,1.2,3,3,2,NA,NA
"PYBI_02-T","2016-2017",0,0,0,0,0,0,0,0,"0",0,0,NA,0,NA,0,0,0,1,1,0,NA,NA
"PYBI_02","2012-2013",0,0,0,0,0,0,10,7,"6",0.5,0,0,0,72,2.99,0.19,0.2,17,8,9,NA,NA
"PYBI_02","2013-2014",0,0,0,0,0,0,14,10,"10",0.46,0.05,0,0,176,5.82,1.07,0.32,23,5,6,NA,NA
"PYBI_02","2014-2015",3,3,0,21.87,21.87,0,12,7,"6",0.98,0,0,0,137,4.56,0.09,0.05,16,7,6,NA,NA
"PYBI_02","2015-2016",0,0,0,0,0,0,20,0,"0",1.31,0.31,0.07,0,162,6.39,3.14,1.44,29,12,11,NA,NA
"PYBI_02","2016-2017",0,0,0,0,0,0,3,0,"0",0.79,0.04,0.04,0,161,4,0.55,0.55,17,3,3,NA,NA
"PYBI_02","2017-2018",0,0,0,0,0,0,2,0,"0",0.35,0,0,0,85,1.92,0.24,0,6,2,1,NA,NA
"PYBI_03-T","2012-2013",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0.02,0,0,2,0,0,NA,NA
"PYBI_03-T","2013-2014",0,0,0,0,0,0,0,0,"0",0.12,0,0,0,59,1.76,0,0,6,1,1,NA,NA
"PYBI_03","2012-2013",0,0,0,0,0,0,16,16,"14",0.52,0,0,0,69,2.68,0.06,0.15,29,12,16,NA,NA
"PYBI_03","2013-2014",0,0,0,0,0,0,17,8,"5",0.59,0.53,0.57,0,176,4.87,2.38,2.51,21,5,7,NA,NA
"PYBI_04-T","2012-2013",0,0,0,0,0,0,0,0,"0",0.62,NA,0,0,27,3.08,0,0,8,0,1,NA,NA
"PYBI_04-T","2013-2014",0,0,0,0,0,0,0,0,"0",0.16,NA,NA,0,21,1.99,0,0,5,0,0,NA,NA
"PYBI_04","2012-2013",1,0,1,72.1,0,72.1,7,4,"3",1.08,0,0.01,0,26,3.88,0,0.47,12,1,3,NA,NA
